season,week,avg_time_to_throw,pass_yards,pass_touchdowns,completions,attempts,interceptions,aggressiveness,completion_percentage,expected_completion_percentage,away_rest,home_rest,wind,temp,home_advantage,dome
2021,9,3.119021276595745,264,0,31,47,2,6.382978723404255,65.95744680851064,68.9002755157491,7,7,16.0,59.0,0,0
2021,10,2.776,366,2,21,28,1,25.0,75.0,61.885234819991254,7,10,4.0,47.0,0,0
2021,11,3.0315428571428575,209,2,21,35,2,11.428571428571429,60.0,69.49316778353283,7,7,12.0,49.0,1,0
2021,12,2.6032857142857138,260,4,23,28,2,3.571428571428571,82.14285714285714,70.12856389795031,4,4,0.0,48.0,0,1
2021,13,2.8652,145,1,15,30,0,10.0,50.0,58.923357129096985,8,11,27.0,36.0,1,0
2021,14,2.688407407407407,308,2,36,54,1,9.25925925925926,66.66666666666666,65.44237760482011,6,7,4.0,82.0,0,0
2021,15,2.864882352941177,210,3,19,34,1,11.76470588235294,55.88235294117647,60.59383316075101,7,7,8.0,30.0,1,0
2021,16,3.338702127659574,314,3,30,47,0,6.382978723404255,63.82978723404256,68.1400217908494,7,7,13.0,38.0,0,0
2021,17,3.446961538461539,120,0,11,26,3,19.230769230769234,42.30769230769231,59.50852076594646,7,7,11.0,26.0,1,0
2021,18,2.744044444444445,239,2,24,45,0,13.333333333333334,53.333333333333336,61.69069031874339,7,7,19.0,36.0,1,0
2021,19,3.1764799999999993,308,5,21,25,0,8.0,84.0,69.52185189723969,6,6,8.0,7.0,1,0
2021,20,2.8587567567567573,329,4,27,37,0,10.81081081081081,72.97297297297297,69.69973438897648,8,7,6.0,35.0,0,0
2022,1,2.4596451612903225,297,3,26,31,2,9.67741935483871,83.87096774193549,72.26798044097039,7,7,0.0,48.0,0,1
2022,2,2.595315789473684,317,4,26,38,0,5.263157894736842,68.42105263157895,70.50507280387377,8,11,0.0,48.0,1,0
2022,3,2.874677419354839,400,2,42,63,0,14.285714285714285,66.66666666666666,64.27166674818311,6,7,0.0,48.0,0,0
2022,4,2.6956666666666664,213,1,19,36,1,13.88888888888889,52.77777777777778,65.4577079642978,7,7,0.0,48.0,0,0
2022,5,2.5466451612903227,424,4,20,31,1,9.67741935483871,64.51612903225806,64.24195819324062,7,7,0.0,48.0,1,0
2022,6,2.7361499999999994,329,3,27,40,0,7.5,67.5,67.3698753491044,7,6,0.0,48.0,0,0
2022,8,3.19248,218,2,13,25,2,24.0,52.0,59.986993908882134,7,14,0.0,48.0,1,0
2022,9,3.2679117647058824,205,0,18,34,2,20.588235294117645,52.94117647058824,61.675498459269015,7,7,17.0,69.0,0,0
2022,10,2.787395348837209,330,1,29,43,2,16.27906976744186,67.44186046511628,64.51265711423963,7,7,11.0,38.0,1,0
2022,11,2.9594814814814816,197,1,18,27,0,7.4074074074074066,66.66666666666666,61.39611828106421,7,7,0.0,48.0,1,1
2022,12,2.8526904761904763,253,2,24,42,1,9.523809523809524,57.14285714285714,60.6160092788438,4,4,0.0,48.0,0,1
2022,13,3.0027878787878786,223,2,22,33,0,15.151515151515152,66.66666666666666,63.0429467920101,7,7,2.0,35.0,0,0
2022,14,2.6003703703703707,147,1,16,27,0,14.814814814814811,59.25925925925925,69.3505754073461,7,10,11.0,36.0,1,0
2022,15,2.876425,304,4,25,40,0,10.0,62.5,61.53243660926819,6,6,4.0,29.0,1,0
2022,16,3.380153846153846,172,2,15,26,2,11.538461538461538,57.692307692307686,66.14942264098389,7,6,17.0,7.0,0,0
2022,18,3.3489032258064517,254,3,19,31,1,9.67741935483871,61.29032258064516,63.14028794727018,7,6,6.0,30.0,1,0
2022,19,3.154230769230768,352,3,23,39,2,10.256410256410255,58.97435897435898,56.05061316910462,7,7,4.0,27.0,1,0
2022,20,3.200190476190476,264,0,25,42,1,11.904761904761903,59.523809523809526,61.16760179755234,7,7,4.0,32.0,1,0
2023,1,2.775075,236,1,29,41,3,21.951219512195124,70.73170731707317,62.47676426953659,7,7,0.0,48.0,0,0
2023,2,2.9036756756756765,274,3,31,37,0,10.81081081081081,83.78378378378379,74.44637949402268,7,6,0.0,48.0,1,0
2023,3,2.86075,218,1,20,32,1,31.25,62.5,61.78889172151685,7,7,1.0,65.0,0,0
2023,4,2.81228,320,4,21,25,0,8.0,84.0,69.84966313838959,7,7,2.0,70.0,1,0
2023,5,3.017225000000001,359,2,27,40,1,20.0,67.5,59.47079308331013,7,7,0.0,48.0,1,0
2023,6,3.169766666666667,169,2,19,30,1,6.666666666666667,63.33333333333333,69.84567195177078,7,7,7.0,46.0,1,0
2023,7,3.258268292682927,265,2,27,41,1,7.317073170731707,65.85365853658537,61.71367311986481,7,7,13.0,55.0,0,0
